FIPS,NAMELSAD,median_renter_wage
0600000US4210718672,Delano township,0.0
0600000US4210746584,Mahanoy township,50500.0
0600000US4205900740,Aleppo township,50278.0
0600000US4202103296,Ashville borough,45500.0
0600000US4202111616,Cassandra borough,28500.0
0600000US4202114056,Clearfield township,46429.0
0600000US4202133080,Hastings borough,26979.0
0600000US4202138288,Johnstown city,15977.0
0600000US4202163608,Reade township,29792.0
0600000US4202177808,Tunnelhill borough,34792.0
0600000US4205912032,Center township,44188.0
0600000US4205913896,Clarksville borough,0.0
0600000US4205927800,Freeport township,14375.0
0600000US4205929152,Gilmore township,0.0
0600000US4205937376,Jackson township,50313.0
0600000US4205937880,Jefferson borough,51563.0
0600000US4205964432,Rices Landing borough,50750.0
0600000US4210766760,Rush township,30396.0
0600000US4210766944,Ryan township,24875.0
0600000US4210781792,Wayne township,0.0
0600000US4201124384,Exeter township,52326.0
0600000US4201131352,Greenwich township,53873.0
0600000US4201137824,Jefferson township,54375.0
0600000US4201144928,Lower Heidelberg township,26404.0
0600000US4201145752,Lyons borough,46786.0
0600000US4201148128,Maxatawny township,39167.0
0600000US4201152200,Muhlenberg township,42250.0
0600000US4201153916,New Morgan borough,0.0
0600000US4201158784,Penn township,45750.0
0600000US4201163624,Reading city,24041.0
0600000US4201165320,Robeson township,59625.0
0600000US4201172208,South Heidelberg township,48500.0
0600000US4201176712,Tilden township,58194.0
0600000US4201178280,Union township,41887.0
0600000US4201179328,Upper Tulpehocken township,39750.0
0600000US4202100308,Adams township,38906.0
0600000US4202104272,Barr township,61250.0
0600000US4205911328,Carmichaels borough,37206.0
0600000US4205973248,Springhill township,28500.0
0600000US4201100364,Adamstown borough,0.0
0600000US4201105848,Bernville borough,47895.0
0600000US4201106008,Bethel township,49583.0
0600000US4201112344,Centre township,53047.0
0600000US4205981832,Waynesburg borough,29750.0
0600000US4212517314,Cross Creek township,44083.0
0600000US4205376848,Tionesta borough,15781.0
0600000US4202910824,Caln township,59844.0
0600000US4202921696,East Pikeland township,64559.0
0600000US4202920824,East Bradford township,45455.0
0600000US4202111456,Carrolltown borough,33194.0
0600000US4202115552,Conemaugh township,17500.0
0600000US4202117136,Cresson borough,25536.0
0600000US4202117144,Cresson township,31667.0
0600000US4202117496,Croyle township,40694.0
0600000US4202118000,Dale borough,17534.0
0600000US4201708768,Bristol township,34331.0
0600000US4212522016,East Washington borough,45750.0
0600000US4212535696,Hopewell township,48750.0
0600000US4212551104,Morris township,44063.0
0600000US4212555712,Nottingham township,0.0
0600000US4212559608,Peters township,76667.0
0600000US4212571288,Smith township,41733.0
0600000US4212512848,Chartiers township,0.0
0600000US4201712504,Chalfont borough,50192.0
0600000US4201719784,Doylestown borough,39883.0
0600000US4201720104,Dublin borough,45956.0
0600000US4201733224,Haycock township,0.0
0600000US4202118432,Dean township,53750.0
0600000US4202122144,Ebensburg borough,37599.0
0600000US4202977344,Tredyffrin township,81274.0
0600000US4212555040,North Franklin township,37841.0
0600000US4212566016,Roscoe borough,26250.0
0600000US4202122712,Ehrenfeld borough,0.0
0600000US4202122808,Elder township,31607.0
0600000US4202125680,Ferndale borough,26875.0
0600000US4207910480,Butler township,29038.0
0600000US4202906544,Birmingham township,0.0
0600000US4202914712,Coatesville city,34120.0
0600000US4202921008,East Coventry township,47090.0
0600000US4202921104,East Fallowfield township,69620.0
0600000US4202921576,East Nantmeal township,55938.0
0600000US4202922000,East Vincent township,0.0
0600000US4210711608,Cass township,35375.0
0600000US4201586912,Wysox township,26750.0
0600000US4202923032,Elk township,47625.0
0600000US4202935528,Honey Brook borough,44630.0
0600000US4202944456,Londonderry township,52000.0
0600000US4202954936,North Coventry township,44972.0
0600000US4202958808,Penn township,19489.0
0600000US4202959136,Pennsbury township,91691.0
0600000US4202972088,South Coventry township,39688.0
0600000US4202979352,Upper Uwchlan township,0.0
0600000US4202979480,Uwchlan township,54651.0
0600000US4202983080,West Goshen township,50795.0
0600000US4202979544,Valley township,61607.0
0600000US4202982544,West Bradford township,42639.0
0600000US4202982664,West Caln township,67173.0
0600000US4202983464,West Marlborough township,68571.0
0600000US4202983712,West Nottingham township,55000.0
0600000US4202985352,Willistown township,54549.0
0600000US4207334248,Hickory township,29833.0
0600000US4201166728,Ruscombmanor township,73092.0
0600000US4202100868,Allegheny township,0.0
0600000US4202184080,West Taylor township,32188.0
0600000US4201156672,Oley township,57868.0
0600000US4207354768,North Beaver township,31071.0
0600000US4207371200,Slippery Rock township,34500.0
0600000US4207378368,Union township,31860.0
0600000US4201160176,Pike township,33750.0
0600000US4201165336,Robesonia borough,36250.0
0600000US4201165544,Rockland township,0.0
0600000US4207909760,Buck township,41500.0
0600000US4209778744,Upper Augusta township,50417.0
0600000US4209779112,Upper Mahanoy township,41250.0
0600000US4209782712,West Chillisquaque township,0.0
0600000US4208342984,Lewis Run borough,18472.0
0600000US4208384312,Wetmore township,36607.0
0600000US4209718696,Delaware township,37629.0
0600000US4209737432,Jackson township,36250.0
0600000US4209742952,Lewis township,44250.0
0600000US4209744960,Lower Mahanoy township,36250.0
0600000US4209747480,Marion Heights borough,25536.0
0600000US4209750016,Milton borough,31921.0
0600000US4209763328,Ralpho township,0.0
0600000US4209765472,Rockefeller township,50313.0
0600000US4207380368,Volant borough,24000.0
0600000US4207381776,Wayne township,32969.0
0600000US4204555664,Norwood borough,40313.0
0600000US4206347472,Marion Center borough,29375.0
0600000US4201167304,St. Lawrence borough,35000.0
0600000US4201170248,Shillington borough,45375.0
0600000US4201170464,Shoemakersville borough,38750.0
0600000US4207305936,Bessemer borough,25625.0
0600000US4207323280,Ellport borough,19464.0
0600000US4207323304,Ellwood City borough,25335.0
0600000US4207323768,Enon Valley borough,0.0
0600000US4207343824,Little Beaver township,39286.0
0600000US4207354352,New Wilmington borough,38450.0
0600000US4207361104,Plain Grove township,39063.0
0600000US4201170880,Sinking Spring borough,46108.0
0600000US4201181184,Washington township,75375.0
0600000US4201182296,Wernersville borough,45456.0
0600000US4201183928,West Reading borough,30669.0
0600000US4201185720,Windsor township,47279.0
0600000US4208971344,Smithfield township,39531.0
0600000US4208974880,Stroud township,47348.0
0600000US4208932176,Hamilton township,35219.0
0600000US4211538168,Jessup township,0.0
0600000US4212751872,Mount Pleasant township,30556.0
0600000US4212719864,Dreher township,32679.0
0600000US4212746856,Manchester township,25250.0
0600000US4212758480,Paupack township,27708.0
0600000US4212767488,Salem township,32125.0
0600000US4200316144,Coraopolis borough,29315.0
0600000US4201186056,Womelsdorf borough,0.0
0600000US4201186880,Wyomissing borough,50125.0
0600000US4207362904,Pulaski township,48393.0
0600000US4207368408,Scott township,43984.0
0600000US4207371620,S.N.P.J. borough,0.0
0600000US4207372376,South New Castle borough,70417.0
0600000US4207376192,Taylor township,22344.0
0600000US4207380880,Wampum borough,26667.0
0600000US4207381272,Washington township,39688.0
0600000US4213185680,Windham township,29167.0
0600000US4203544128,Lock Haven city,27315.0
0600000US4203549760,Mill Hall borough,33224.0
0600000US4208957856,Paradise township,126625.0
0600000US4203564200,Renovo borough,16214.0
0600000US4203572448,South Renovo borough,40625.0
0600000US4203583240,West Keating township,0.0
0600000US4213181344,Washington township,51833.0
0600000US4207385504,Wilmington township,20882.0
0600000US4210560200,Pike township,0.0
0600000US4204349128,Middletown borough,37710.0
0600000US4211709072,Brookfield township,33750.0
0600000US4211712728,Charleston township,46354.0
0600000US4211714528,Clymer township,25972.0
0600000US4211720232,Duncan township,73333.0
0600000US4211723056,Elk township,0.0
0600000US4205105288,Belle Vernon borough,21406.0
0600000US4205109432,Brownsville borough,20625.0
0600000US4205109434,Brownsville township,43750.0
0600000US4205120216,Dunbar borough,25938.0
0600000US4205124536,Fairchance borough,25756.0
0600000US4203586448,Woodward township,0.0
0600000US4204514264,Clifton Heights borough,46629.0
0600000US4204515232,Collingdale borough,36736.0
0600000US4204515432,Colwyn borough,47250.0
0600000US4207915888,Conyngham borough,48750.0
0600000US4207926928,Foster township,0.0
0600000US4207936152,Hughestown borough,37500.0
0600000US4207941848,Laurel Run borough,67500.0
0600000US4207962712,Pringle borough,28304.0
0600000US4207981080,Warrior Run borough,35125.0
0600000US4201105816,Bern township,27222.0
0600000US4201142688,Lenhartsville borough,45313.0
0600000US4201155088,North Heidelberg township,63750.0
0600000US4201159448,Perry township,43625.0
0600000US4201177752,Tulpehocken township,31250.0
0600000US4209769608,Shamokin township,51136.0
0600000US4207346648,Mahoning township,38869.0
0600000US4207353064,Neshannock township,26684.0
0600000US4207353368,New Castle city,20324.0
0600000US4207359488,Perry township,40625.0
0600000US4207370080,Shenango township,21307.0
0600000US4204515488,Concord township,75928.0
0600000US4204518152,Darby borough,31637.0
0600000US4204518160,Darby township,27775.0
0600000US4204521384,East Lansdowne borough,38220.0
0600000US4204526408,Folcroft borough,47039.0
0600000US4204533144,Haverford township,58806.0
0600000US4201172824,Spring township,45780.0
0600000US4201177104,Topton borough,46528.0
0600000US4201178752,Upper Bern township,51058.0
0600000US4201156856,Ontelaunee township,56250.0
0600000US4208708304,Bratton township,31125.0
0600000US4208718464,Decatur township,26797.0
0600000US4208730480,Granville township,39318.0
0600000US4208746400,McVeytown borough,48750.0
0600000US4201100588,Albany township,53906.0
0600000US4201102120,Alsace township,70347.0
0600000US4201103984,Bally borough,42857.0
0600000US4211503496,Auburn township,40417.0
0600000US4211508648,Bridgewater township,39201.0
0600000US4211509128,Brooklyn township,30000.0
0600000US4211513504,Choconut township,26875.0
0600000US4211526560,Forest City borough,35114.0
0600000US4211743128,Liberty borough,22386.0
0600000US4211766232,Roseville borough,37500.0
0600000US4211326736,Forks township,38214.0
0600000US4204541440,Lansdowne borough,35727.0
0600000US4204544888,Lower Chichester township,43866.0
0600000US4206310352,Burrell township,30417.0
0600000US4206309624,Brush Valley township,31875.0
0600000US4206303064,Armstrong township,45028.0
0600000US4213337944,Jefferson borough,0.0
0600000US4213344872,Lower Chanceford township,44091.0
0600000US4204547344,Marcus Hook borough,35409.0
0600000US4204547616,Marple township,60058.0
0600000US4204548480,Media borough,69605.0
0600000US4204551176,Morton borough,46029.0
0600000US4204553104,Nether Providence township,55667.0
0600000US4201104896,Bechtelsville borough,33438.0
0600000US4201106504,Birdsboro borough,40915.0
0600000US4201107960,Boyertown borough,27813.0
0600000US4201108344,Brecknock township,41250.0
0600000US4201112104,Centerport borough,33750.0
0600000US4201114984,Colebrookdale township,40984.0
0600000US4201119312,District township,43750.0
0600000US4206306752,Black Lick township,22188.0
0600000US4206312040,Center township,44167.0
